rc_number,sources,status
MH48F2923,renewbuy,deny
TN18AK3561,renewbuy,deny
MH24AF1925,renewbuy,deny
MH501520,renewbuy,deny
MH02BG1422,renewbuy,deny
MH04BS2843,renewbuy,deny
MH04GD2603,renewbuy,deny
TN05AD1291,renewbuy,deny
MH12DE3225,renewbuy,deny
TN04AU1417,renewbuy,deny
TN65Y6517,renewbuy,deny
TN18AK1280,renewbuy,deny
TN18H1567,renewbuy,deny
TN22BL4828,renewbuy,deny
TN18D4413,renewbuy,deny
KA13A9512,renewbuy,deny
TN20CC8352,renewbuy,deny
KA05AE4405,renewbuy,deny
HR26ER4256,renewbuy,deny
MH43BE3933,renewbuy,deny
TN07AD6703,renewbuy,deny
MH04HY8876,renewbuy,deny
TN22BM6550,renewbuy,deny
TN22BP4237,renewbuy,deny
TN10Z0221,renewbuy,deny
TN20BE1542,renewbuy,deny
TN18Z5721,renewbuy,deny
MH04HY1360,renewbuy,deny
SK02J0990,renewbuy,deny
TN12T2293,renewbuy,deny
JK05B7097,renewbuy,deny
MH04GM9051,renewbuy,deny
UP13AT2056,renewbuy,deny
HR19M4620,renewbuy,deny
HR642711,renewbuy,deny
MH04GD8595,renewbuy,deny
MH11AK0826,renewbuy,deny
HR61D4110,renewbuy,deny
HR70B7628,renewbuy,deny
MH24AF9369,renewbuy,deny
OD02AH0353,renewbuy,deny
DL8CX9972,renewbuy,deny
KL45M9090,renewbuy,deny
TN03AB0387,renewbuy,deny
TN18Q4486,renewbuy,deny
TN02BK7759,renewbuy,deny
TN20AQ8263,renewbuy,deny
JK05B5862,renewbuy,deny
MH12NX3116,renewbuy,deny
MH48F4644,renewbuy,deny
MH09AZ5050,renewbuy,deny
DL12CE9727,renewbuy,deny
TN11AK7347,renewbuy,deny
TN05BK2921,renewbuy,deny
TN12R9751,renewbuy,deny
TN22BK1627,renewbuy,deny
OR10G5579,renewbuy,deny
MH04ED7211,renewbuy,deny
MH04BN0967,renewbuy,deny
DL3CBJ6865,renewbuy,deny
DL3CBU5396,renewbuy,deny
DL3CBM8292,renewbuy,deny
MH03CH1247,renewbuy,deny
PB11BA5749,renewbuy,deny
TN14A9158,renewbuy,deny
TN22BP3696,renewbuy,deny
HR68A1566,renewbuy,deny
TN22CB1813,renewbuy,deny
TN03L7322,renewbuy,deny
TN18AH3340,renewbuy,deny
MH01CD8933,renewbuy,deny
KA04AB5772,renewbuy,deny
TN10E6514,renewbuy,deny
MH05DH9205,renewbuy,deny
DL4CAJ1308,renewbuy,deny
TN14K6945,renewbuy,deny
TN18AJ6809,renewbuy,deny
TN12E8727,renewbuy,deny
JK097008,renewbuy,deny
TN22BP5361,renewbuy,deny
TN18H5145,renewbuy,deny
MH48BM5877,renewbuy,deny
JK05A2135,renewbuy,deny
AP39W2128,renewbuy,deny
AN01N1191,renewbuy,deny
TN02BP8919,renewbuy,deny
OR314191,renewbuy,deny
JK151332,renewbuy,deny
PB32G9510,renewbuy,deny
MH04GD1921,renewbuy,deny
TN22CV7417,renewbuy,deny
TN02AQ8650,renewbuy,deny
TN05AF8514,renewbuy,deny
TN22CZ1371,renewbuy,deny
TN19C4889,renewbuy,deny
MH04GD3613,renewbuy,deny
UP16DT2688,renewbuy,deny
TN09BW9255,renewbuy,deny
TN10AB9364,renewbuy,deny
HR51AP1888,renewbuy,deny
PB23D3031,renewbuy,deny
JK05C5736,renewbuy,deny
TN22BJ1887,renewbuy,deny
DL4CAH6737,renewbuy,deny
UP21AF1713,renewbuy,deny
TN19AF7692,renewbuy,deny
AN01L8018,renewbuy,deny
TN04AV6325,renewbuy,deny
TN20CW3026,renewbuy,deny
TN22CA0542,renewbuy,deny
TN18P7862,renewbuy,deny
TN18C4432,renewbuy,deny
TN09BC9939,renewbuy,deny
MH11M0357,renewbuy,deny
OR05AR2218,renewbuy,deny
OD02Q6942,renewbuy,deny
JK05A1648,renewbuy,deny
PB18N0071,renewbuy,deny
TN07BW4649,renewbuy,deny
TN02AQ3795,renewbuy,deny
HR22J4404,renewbuy,deny
TN18F6771,renewbuy,deny
TN22BP6087,renewbuy,deny
TN04AR2596,renewbuy,deny
HR51AT7108,renewbuy,deny
MH04DN3365,renewbuy,deny
TN22CA1814,renewbuy,deny
MH48F1705,renewbuy,deny
OD02R7127,renewbuy,deny
OR08D3938,renewbuy,deny
HR26BH4499,renewbuy,deny
OD02AS9119,renewbuy,deny
Dl1RTC2129,renewbuy,deny
TN20BD2050,renewbuy,deny
MH31FC0275,renewbuy,deny
UK02TA0220,renewbuy,deny
KA03MD5713,renewbuy,deny
DL1K7388,renewbuy,deny
OR15N0543,renewbuy,deny
UP78DN8167,renewbuy,deny
TN12A7466,renewbuy,deny
MH11Y2562,renewbuy,deny
OD07D8737,renewbuy,deny
TN03Y9641,renewbuy,deny
TN22CY0433,renewbuy,deny
TN14P5214,renewbuy,deny
TN10AK6796,renewbuy,deny
TN09S4992,renewbuy,deny
MH14HU1686,renewbuy,deny
OD33L7014,renewbuy,deny
MH18Z9009,renewbuy,deny
UP64H7666,renewbuy,deny
HR26AX5132,renewbuy,deny
HP64A7977,renewbuy,deny
UK02TA0896,renewbuy,deny
TN07AS9898,renewbuy,deny
TN05BZ1120,renewbuy,deny
TN06M5816,renewbuy,deny
TN31M1027,renewbuy,deny
MH43BA0724,renewbuy,deny
MH11BD6168,renewbuy,deny
OD02AD2524,renewbuy,deny
HR51BM5423,renewbuy,deny
OD07H7706,renewbuy,deny
OR24A1211,renewbuy,deny
OR02BT6898,renewbuy,deny
TN22BR3017,renewbuy,deny
UP16CT6364,renewbuy,deny
MH31FC1569,renewbuy,deny
TN19E7764,renewbuy,deny
TN18AD2099,renewbuy,deny
UP62L9711,renewbuy,deny
BR01PJ4169,renewbuy,deny
TS09ET0959,renewbuy,deny
KA03MJ9305,renewbuy,deny
JK05A4329,renewbuy,deny
OD33C3138,renewbuy,deny
UP62BF6315,renewbuy,deny
UP50P8696,renewbuy,deny
UP62BP9192,renewbuy,deny
UP85X0927,renewbuy,deny
UP72K8980,renewbuy,deny
TN33AV4600,renewbuy,deny
MH12GZ5807,renewbuy,deny
MH04ES8047,renewbuy,deny
KA27B8441,renewbuy,deny
MH12QW5975,renewbuy,deny
HR26BQ8132,renewbuy,deny
TN16E5653,renewbuy,deny
TN22BP2921,renewbuy,deny
PB658458,renewbuy,deny
TN22BR9112,renewbuy,deny
TN72AH9711,renewbuy,deny
TN02AQ1760,renewbuy,deny
TN63AU8768,renewbuy,deny
TN22CA2335,renewbuy,deny
TN05BV6607,renewbuy,deny
TN22CH9455,renewbuy,deny
CH01AP4736,renewbuy,deny
TN22S7272,renewbuy,deny
TN02AQ2678,renewbuy,deny
TN22BL7304,renewbuy,deny
OD05K9610,renewbuy,deny
OD03A9188,renewbuy,deny
JK150953,renewbuy,deny
OD02AB5274,renewbuy,deny
DL2CAJ1796,renewbuy,deny
OD02AA3201,renewbuy,deny
HR08P4711,renewbuy,deny
UP62AW6116,renewbuy,deny
UP65AM1682,renewbuy,deny
CG05AB0584,renewbuy,deny
OD02AU9183,renewbuy,deny
TN14K7265,renewbuy,deny
KA05AG7002,renewbuy,deny
UP50AU8604,renewbuy,deny
OD05S8598,renewbuy,deny
