rc_number,sources,status
JH02BB3175,renewbuy,deny
MH48BF3257,renewbuy,deny
MH48AG8481,renewbuy,deny
MH48BF4468,renewbuy,deny
HR74A6239,renewbuy,deny
OD10J0402,renewbuy,deny
KA268722,renewbuy,deny
UK18ER2665,renewbuy,deny
UP15BZ7738,renewbuy,deny
MH48K0740,renewbuy,deny
MH04GD7594,renewbuy,deny
MH03CV6624,renewbuy,deny
UP23K2866,renewbuy,deny
JK05B1233,renewbuy,deny
MH06BE2812,renewbuy,deny
UP16AT7056,renewbuy,deny
OR07N4269,renewbuy,deny
JK13B6771,renewbuy,deny
TN07AQ0130,renewbuy,deny
TN06D5926,renewbuy,deny
KA259632,renewbuy,deny
TN07AV2647,renewbuy,deny
TN85E0510,renewbuy,deny
TN06C3643,renewbuy,deny
TN02AC9176,renewbuy,deny
HR39B6009,renewbuy,deny
TN11AD0740,renewbuy,deny
DL12CJ0405,renewbuy,deny
KA251148,renewbuy,deny
TN20CF2392,renewbuy,deny
MH14JH5045,renewbuy,deny
TN09AH0558,renewbuy,deny
MH04BS0253,renewbuy,deny
MH43BP2864,renewbuy,deny
HR55D6650,renewbuy,deny
TN10H4874,renewbuy,deny
MH04HZ5727,renewbuy,deny
MH04HN4339,renewbuy,deny
TN18AA4368,renewbuy,deny
TN25U0328,renewbuy,deny
MH06Z4065,renewbuy,deny
TN20CD4011,renewbuy,deny
TN09AB0424,renewbuy,deny
KA268965,renewbuy,deny
KA277845,renewbuy,deny
UP70BA9126,renewbuy,deny
MH48AX0176,renewbuy,deny
MH48BF6101,renewbuy,deny
MH48BF8717,renewbuy,deny
MH48AX3018,renewbuy,deny
MH04KA7005,renewbuy,deny
UK06CK0035,renewbuy,deny
UP16AJ0699,renewbuy,deny
RJ14GH7465,renewbuy,deny
RJ14GL3658,renewbuy,deny
RJ14GL3660,renewbuy,deny
HR38R4766,renewbuy,deny
HP64B1884,renewbuy,deny
HP12L7222,renewbuy,deny
HR12AG6477,renewbuy,deny
UP62BY6999,renewbuy,deny
HP12F5801,renewbuy,deny
TN01AM7492,renewbuy,deny
HR15D4671,renewbuy,deny
TN11W7318,renewbuy,deny
HR11J1756,renewbuy,deny
TN12AF5688,renewbuy,deny
MH43BG1099,renewbuy,deny
TN01AL5463,renewbuy,deny
MH05DL6062,renewbuy,deny
TN05V9600,renewbuy,deny
MH11U7533,renewbuy,deny
TN09AU6790,renewbuy,deny
HR12AG9006,renewbuy,deny
MH04BN8380,renewbuy,deny
TN22BJ5043,renewbuy,deny
TN20AD3848,renewbuy,deny
HR55AH3745,renewbuy,deny
MH26AD7862,renewbuy,deny
MH04HY0334,renewbuy,deny
TN36X3431,renewbuy,deny
TN22CB7328,renewbuy,deny
MH43H4271,renewbuy,deny
TN22AX0550,renewbuy,deny
MH04AA4851,renewbuy,deny
JK151125,renewbuy,deny
OD303582,renewbuy,deny
UK04TA5014,renewbuy,deny
TN55X2547,renewbuy,deny
TN20CV3157,renewbuy,deny
TN10AD5056,renewbuy,deny
UP32LN7709,renewbuy,deny
TS07UH6558,renewbuy,deny
MH12PQ1100,renewbuy,deny
TN10D9907,renewbuy,deny
TN07Y9761,renewbuy,deny
TN03B9324,renewbuy,deny
TN06B6376,renewbuy,deny
TN12R2215,renewbuy,deny
TN28J3363,renewbuy,deny
PB32P0142,renewbuy,deny
GJ07A6128,renewbuy,deny
TN09AY4600,renewbuy,deny
TN09BJ9786,renewbuy,deny
TN03A5447,renewbuy,deny
TN06X5466,renewbuy,deny
TN04AY1360,renewbuy,deny
TN63H4570,renewbuy,deny
TN22DE1616,renewbuy,deny
TN85E5010,renewbuy,deny
TN20AB8871,renewbuy,deny
TN10W5788,renewbuy,deny
MH04GF0122,renewbuy,deny
MH04FC6030,renewbuy,deny
TN22BM9439,renewbuy,deny
MH43AC3634,renewbuy,deny
MH11T2215,renewbuy,deny
MH04HZ9358,renewbuy,deny
HR15E7023,renewbuy,deny
PB31V9768,renewbuy,deny
JK01S0299,renewbuy,deny
HR15B2635,renewbuy,deny
JK01V8165,renewbuy,deny
HR19J8425,renewbuy,deny
HR15D3373,renewbuy,deny
HR15D6426,renewbuy,deny
MH05Z5589,renewbuy,deny
MH48BF8596,renewbuy,deny
MH48N8237,renewbuy,deny
HR26BG4949,renewbuy,deny
RJ32GC2251,renewbuy,deny
TN07BJ0195,renewbuy,deny
HR12AF3934,renewbuy,deny
TN09CT7165,renewbuy,deny
TN22BM4164,renewbuy,deny
TN22BQ4159,renewbuy,deny
TN21AT2604,renewbuy,deny
KA53A1499,renewbuy,deny
TN10X4721,renewbuy,deny
TN05AD8625,renewbuy,deny
HR18B8878,renewbuy,deny
MH04HN4083,renewbuy,deny
MH05CP3755,renewbuy,deny
DL1RP3247,renewbuy,deny
JK09A1198,renewbuy,deny
JK15A5260,renewbuy,deny
HR36Z3295,renewbuy,deny
TN686453,renewbuy,deny
TN85D5187,renewbuy,deny
TN10W0051,renewbuy,deny
UP70HT7699,renewbuy,deny
MH12DG3225,renewbuy,deny
HP12G8366,renewbuy,deny
DL1LAE8023,renewbuy,deny
UP16CT5886,renewbuy,deny
JK03B4792,renewbuy,deny
OD02BJ6800,renewbuy,deny
MH48N5717,renewbuy,deny
MH48BF6466,renewbuy,deny
MH48AX0497,renewbuy,deny
MH48S0715,renewbuy,deny
MH04EB7534,renewbuy,deny
MH46BF2014,renewbuy,deny
MH46BB9566,renewbuy,deny
MH04EY7204,renewbuy,deny
MH48BM6129,renewbuy,deny
JK153155,renewbuy,deny
JK153037,renewbuy,deny
HR31N1134,renewbuy,deny
TN48L1843,renewbuy,deny
MH22AP1326,renewbuy,deny
HR46E0462,renewbuy,deny
TN05CB5806,renewbuy,deny
TN22DP9734,renewbuy,deny
TN22BJ1974,renewbuy,deny
TN10AA5717,renewbuy,deny
TN22CC0913,renewbuy,deny
KA263698,renewbuy,deny
TN32L1433,renewbuy,deny
TN22DB7943,renewbuy,deny
TN48S8937,renewbuy,deny
TN21AZ8410,renewbuy,deny
TN22AW8271,renewbuy,deny
TN50X3289,renewbuy,deny
HR36V4266,renewbuy,deny
HR36W9180,renewbuy,deny
TN10AA0960,renewbuy,deny
TN02AC7673,renewbuy,deny
MH04HJ1507,renewbuy,deny
MH05DK6183,renewbuy,deny
MH05DK9392,renewbuy,deny
MH17C4944,renewbuy,deny
MH43BG5990,renewbuy,deny
MH48K1302,renewbuy,deny
WB65D2250,renewbuy,deny
JK152229,renewbuy,deny
MH04JQ7903,renewbuy,deny
TN20CY0510,renewbuy,deny
MH48AX9712,renewbuy,deny
MH48BF3044,renewbuy,deny
MH48AX3672,renewbuy,deny
DL1LP6174,renewbuy,deny
TN13H8541,renewbuy,deny
CG04JB3510,renewbuy,deny
HR10U5253,renewbuy,deny
HR15D4794,renewbuy,deny
HR15D9540,renewbuy,deny
OR14C6973,renewbuy,deny
TN18AJ5898,renewbuy,deny
TN22DE9382,renewbuy,deny
TN12A1896,renewbuy,deny
TN22DM6760,renewbuy,deny
TN09K9035,renewbuy,deny
TN09AV8033,renewbuy,deny
TN11B6401,renewbuy,deny
OR03H2358,renewbuy,deny
OR05AP3074,renewbuy,deny
UP62AT3172,renewbuy,deny
TN09BE8767,renewbuy,deny
MH04JH1604,renewbuy,deny
MH04HZ9350,renewbuy,deny
MH04HZ7408,renewbuy,deny
MH05DL5864,renewbuy,deny
MH04GN3387,renewbuy,deny
MH04HY7151,renewbuy,deny
MH04KF8175,renewbuy,deny
MH11CH6720,renewbuy,deny
MH11CH1958,renewbuy,deny
MH04CJ9166,renewbuy,deny
OD10L3804,renewbuy,deny
MH48N2963,renewbuy,deny
MH48N6113,renewbuy,deny
MH48N4564,renewbuy,deny
HR12AJ3595,renewbuy,deny
HR21J1916,renewbuy,deny
HR29AC4660,renewbuy,deny
HR69B9248,renewbuy,deny
MH11M0106,renewbuy,deny
MH11AG0630,renewbuy,deny
MH11AL0367,renewbuy,deny
TN31AX9700,renewbuy,deny
TN20AS9874,renewbuy,deny
MH26H8224,renewbuy,deny
RJ11GB3223,renewbuy,deny
RJ11GB6483,renewbuy,deny
MH06AQ6289,renewbuy,deny
MH04CW3960,renewbuy,deny
TN85F8525,renewbuy,deny
TN01Y7725,renewbuy,deny
TN22BL1676,renewbuy,deny
UP16CT4157,renewbuy,deny
TN05AE9484,renewbuy,deny
TN01BL4757,renewbuy,deny
TN02BP5505,renewbuy,deny
TN04AC8536,renewbuy,deny
TN05F2809,renewbuy,deny
MH01CJ4023,renewbuy,deny
MH04FC3110,renewbuy,deny
JK152595,renewbuy,deny
MH04BC9896,renewbuy,deny
MH05BG3715,renewbuy,deny
JK153206,renewbuy,deny
JK15A0623,renewbuy,deny
MH04GP1410,renewbuy,deny
JK15A3941,renewbuy,deny
TN22DK0528,renewbuy,deny
TN20AL4595,renewbuy,deny
TN11V8400,renewbuy,deny
UP54T5618,renewbuy,deny
MH17BY4120,renewbuy,deny
MH14DM7168,renewbuy,deny
RJ14GH7842,renewbuy,deny
HP642037,renewbuy,deny
HP640922,renewbuy,deny
HR38Z4573,renewbuy,deny
HP647983,renewbuy,deny
RJ02GB8354,renewbuy,deny
HP64A7983,renewbuy,deny
OD17S3444,renewbuy,deny
HP64A9954,renewbuy,deny
HP36E4059,renewbuy,deny
JK152559,renewbuy,deny
MH11AL1883,renewbuy,deny
RJ14GL3485,renewbuy,deny
HR67B3484,renewbuy,deny
OD01AJ2244,renewbuy,deny
HR46D4249,renewbuy,deny
HR73A8288,renewbuy,deny
RJ14GK5149,renewbuy,deny
RJ14GK0175,renewbuy,deny
OD02AV6916,renewbuy,deny
MH48AX4891,renewbuy,deny
MH48T6533,renewbuy,deny
MH48N2401,renewbuy,deny
MH01BT2671,renewbuy,deny
OD299567,renewbuy,deny
UP21R6501,renewbuy,deny
OD10A0373,renewbuy,deny
TN21T9105,renewbuy,deny
KA05D4401,renewbuy,deny
TN04W4334,renewbuy,deny
TN85C1120,renewbuy,deny
TN07AS0874,renewbuy,deny
TN03T7727,renewbuy,deny
TN31AD8289,renewbuy,deny
TN11D8114,renewbuy,deny
TN01AR6550,renewbuy,deny
TN10BK7120,renewbuy,deny
TN58BE3193,renewbuy,deny
TN02W7246,renewbuy,deny
TN20AZ0137,renewbuy,deny
TN20AS9560,renewbuy,deny
TN22BW5382,renewbuy,deny
TN12AC9401,renewbuy,deny
OD02D1761,renewbuy,deny
TN22BR0047,renewbuy,deny
TN22DF8708,renewbuy,deny
TN04AK0492,renewbuy,deny
TN07AQ5176,renewbuy,deny
TN10L0290,renewbuy,deny
GJ02B4896,renewbuy,deny
HR15D0758,renewbuy,deny
TN07AR1767,renewbuy,deny
HR15D0178,renewbuy,deny
HR12N9533,renewbuy,deny
MH26N0980,renewbuy,deny
TN22DD5031,renewbuy,deny
DL5CB5693,renewbuy,deny
MH04KA7438,renewbuy,deny
MH04HJ1974,renewbuy,deny
UP16S4999,renewbuy,deny
MH04FK0734,renewbuy,deny
MH04GN9542,renewbuy,deny
OD07AC0404,renewbuy,deny
MH03AW9696,renewbuy,deny
GJ17D1144,renewbuy,deny
HR74A3869,renewbuy,deny
HR16Q3305,renewbuy,deny
MH01BB3549,renewbuy,deny
OR02BJ6046,renewbuy,deny
OR02BG0110,renewbuy,deny
OR09G9324,renewbuy,deny
MH48BF4506,renewbuy,deny
MH48BM7705,renewbuy,deny
OD02AN2918,renewbuy,deny
MH03AT2114,renewbuy,deny
OR02AT2628,renewbuy,deny
MH48BF2916,renewbuy,deny
OR02AX0845,renewbuy,deny
OD05B0653,renewbuy,deny
MH38X9999,renewbuy,deny
OD156766,renewbuy,deny
TN22DF4657,renewbuy,deny
TN22BP7309,renewbuy,deny
TN22CJ7778,renewbuy,deny
TN12P1918,renewbuy,deny
MH08H4993,renewbuy,deny
MH11AG0271,renewbuy,deny
TN11AR8335,renewbuy,deny
TN05BZ8548,renewbuy,deny
TN02P3998,renewbuy,deny
TN02AZ4771,renewbuy,deny
TN18AP5062,renewbuy,deny
TN11AS5987,renewbuy,deny
HR38AB5762,renewbuy,deny
TN01AT9340,renewbuy,deny
TN04H2107,renewbuy,deny
TN10S4871,renewbuy,deny
TN07BR1355,renewbuy,deny
TN20CZ5087,renewbuy,deny
TN69A7120,renewbuy,deny
TN20AJ8179,renewbuy,deny
TN07AY1566,renewbuy,deny
OR10E8002,renewbuy,deny
BR29D6584,renewbuy,deny
MH11CH6707,renewbuy,deny
MH09L4281,renewbuy,deny
MH11M2901,renewbuy,deny
BR24G7059,renewbuy,deny
TN49AZ6208,renewbuy,deny
MH48T7926,renewbuy,deny
MH48AY3899,renewbuy,deny
MH48BF6802,renewbuy,deny
PB23E3794,renewbuy,deny
HR72A4880,renewbuy,deny
HR15C6837,renewbuy,deny
HR15D7302,renewbuy,deny
TN21AB6937,renewbuy,deny
MH04CU5269,renewbuy,deny
OR09Q6389,renewbuy,deny
HR15B7484,renewbuy,deny
OD09D3644,renewbuy,deny
TN10AA3823,renewbuy,deny
HR11J5339,renewbuy,deny
KA05MB9393,renewbuy,deny
TN034083,renewbuy,deny
TN20CP8753,renewbuy,deny
TN22DC2901,renewbuy,deny
TN11A8316,renewbuy,deny
MH12NB1893,renewbuy,deny
TN10J2170,renewbuy,deny
TN14Q4423,renewbuy,deny
MH11CJ2385,renewbuy,deny
MH11AL2200,renewbuy,deny
MH03CV6632,renewbuy,deny
MH04FC8502,renewbuy,deny
MH03CV9779,renewbuy,deny
MH01CV5465,renewbuy,deny
TN19D1904,renewbuy,deny
PB08CH0176,renewbuy,deny
MH11F1902,renewbuy,deny
TN20BJ9088,renewbuy,deny
TN05AZ6367,renewbuy,deny
TN22AV7184,renewbuy,deny
TN22CF5875,renewbuy,deny
MH04CW4097,renewbuy,deny
TN03K0238,renewbuy,deny
MH12RN9612,renewbuy,deny
OR301899,renewbuy,deny
OD03E1207,renewbuy,deny
MH14AS6624,renewbuy,deny
MH12EB0915,renewbuy,deny
MH04GR6746,renewbuy,deny
JK05B5439,renewbuy,deny
JK059811,renewbuy,deny
HR15D6328,renewbuy,deny
HR12AN5803,renewbuy,deny
WB74AY0729,renewbuy,deny
MH12HB5296,renewbuy,deny
JK04C4588,renewbuy,deny
TN09U5157,renewbuy,deny
OD09L4686,renewbuy,deny
MH48N7802,renewbuy,deny
MH48BF6994,renewbuy,deny
TN01AB6583,renewbuy,deny
MH48N5702,renewbuy,deny
MH48AX7787,renewbuy,deny
HP12D2509,renewbuy,deny
TN11V3681,renewbuy,deny
TN03A3631,renewbuy,deny
TN32AB2111,renewbuy,deny
TN09BT4380,renewbuy,deny
TN10AM4926,renewbuy,deny
TN22AW1317,renewbuy,deny
TN12U6703,renewbuy,deny
TN10AB3591,renewbuy,deny
TN05T9946,renewbuy,deny
TN11AT3958,renewbuy,deny
TN14A1347,renewbuy,deny
TN21BZ3510,renewbuy,deny
TN22BZ6852,renewbuy,deny
TN09BS2253,renewbuy,deny
MH12GT8115,renewbuy,deny
TN11R3721,renewbuy,deny
TN11E9896,renewbuy,deny
TN20CX1156,renewbuy,deny
TN02T6383,renewbuy,deny
KA257845,renewbuy,deny
TN22BK6856,renewbuy,deny
TN22BL7230,renewbuy,deny
TN19AD0924,renewbuy,deny
RJ40GA4232,renewbuy,deny
TN07CK9940,renewbuy,deny
RJ40GA4233,renewbuy,deny
TN07V1552,renewbuy,deny
TN22CP4186,renewbuy,deny
TN12P0025,renewbuy,deny
TN01AM0509,renewbuy,deny
BR24GA0145,renewbuy,deny
TN22BP1732,renewbuy,deny
TN10BK7144,renewbuy,deny
BR24GA5006,renewbuy,deny
TN37BP3489,renewbuy,deny
TN22AP3408,renewbuy,deny
MH04FD8609,renewbuy,deny
MH25H1670,renewbuy,deny
OD17C0288,renewbuy,deny
MH04FC0131,renewbuy,deny
MH06S9324,renewbuy,deny
BR06PC4276,renewbuy,deny
MH04BY0003,renewbuy,deny
MH06K1634,renewbuy,deny
MH46AD1549,renewbuy,deny
MH42F0020,renewbuy,deny
MH10AG0784,renewbuy,deny
BR06BW5106,renewbuy,deny
BR01GC0246,renewbuy,deny
HR46E5353,renewbuy,deny
HR46E1377,renewbuy,deny
HR15D5425,renewbuy,deny
MH04EF8361,renewbuy,deny
MH48BM8000,renewbuy,deny
MH48BM6380,renewbuy,deny
MH04EX9732,renewbuy,deny
MH48BF1567,renewbuy,deny
MH38D0544,renewbuy,deny
TN20BQ7015,renewbuy,deny
KA13C8957,renewbuy,deny
JH02W4661,renewbuy,deny
JH02V2271,renewbuy,deny
MH12SF9036,renewbuy,deny
TN04AE4314,renewbuy,deny
TN85K8407,renewbuy,deny
TN05BT6721,renewbuy,deny
TN01AM1724,renewbuy,deny
TN10AV0348,renewbuy,deny
TN09CD7853,renewbuy,deny
TN22CW6882,renewbuy,deny
TN03A1302,renewbuy,deny
JH02W1019,renewbuy,deny
HR12AL0423,renewbuy,deny
JH02AM8100,renewbuy,deny
TN22CJ6354,renewbuy,deny
TN11S8454,renewbuy,deny
HR63D2285,renewbuy,deny
TN02BL5208,renewbuy,deny
JH02V9424,renewbuy,deny
TN07AY1884,renewbuy,deny
TN02AM8978,renewbuy,deny
OD19A6930,renewbuy,deny
TN88H6367,renewbuy,deny
TN20U5619,renewbuy,deny
UP14AK0126,renewbuy,deny
DL12CG0688,renewbuy,deny
MH43BR8063,renewbuy,deny
MH04G8402,renewbuy,deny
MH06K6403,renewbuy,deny
TN12AC8949,renewbuy,deny
MH48T5228,renewbuy,deny
MH48BF8887,renewbuy,deny
MH48AX7472,renewbuy,deny
MH48AY7103,renewbuy,deny
JK059135,renewbuy,deny
JK056309,renewbuy,deny
JK059074,renewbuy,deny
HP19D5021,renewbuy,deny
UP16AD2758,renewbuy,deny
MH04CW6532,renewbuy,deny
MH48BV0846,renewbuy,deny
PB26D4777,renewbuy,deny
MH48N1542,renewbuy,deny
OD19J3158,renewbuy,deny
TN21AF1711,renewbuy,deny
MH12FC7491,renewbuy,deny
MH14DM8045,renewbuy,deny
MH05AM2482,renewbuy,deny
MH11M3511,renewbuy,deny
MH05AM2481,renewbuy,deny
MH05AM2485,renewbuy,deny
PB11BN8561,renewbuy,deny
PB13BH8852,renewbuy,deny
MH05AM2484,renewbuy,deny
PB13Z5496,renewbuy,deny
OD02AB6625,renewbuy,deny
OD02BE2053,renewbuy,deny
DL1CQ1699,renewbuy,deny
OD05AL0146,renewbuy,deny
OD02BJ8303,renewbuy,deny
HR51AV8090,renewbuy,deny
OR14R9629,renewbuy,deny
MH48BF4672,renewbuy,deny
HR15B8850,renewbuy,deny
PB07R6167,renewbuy,deny
HR15C2284,renewbuy,deny
HR10AG5520,renewbuy,deny
MH01CR2680,renewbuy,deny
TN11AK2644,renewbuy,deny
TN02AT6289,renewbuy,deny
HR31K7462,renewbuy,deny
HR906486,renewbuy,deny
TN02AA8892,renewbuy,deny
HR12AH9666,renewbuy,deny
TN22BM6159,renewbuy,deny
TN22CY5760,renewbuy,deny
TN05BL8178,renewbuy,deny
TN07CV5740,renewbuy,deny
TN11A1523,renewbuy,deny
TN20CX7959,renewbuy,deny
TN20P1549,renewbuy,deny
TN18AT6152,renewbuy,deny
TN07CH9358,renewbuy,deny
TS02EX2625,renewbuy,deny
TN05M3242,renewbuy,deny
TN22AX0196,renewbuy,deny
HR47C8602,renewbuy,deny
TN07AB9833,renewbuy,deny
TN14L4424,renewbuy,deny
TN85B1323,renewbuy,deny
TN10Z8586,renewbuy,deny
UK05A3407,renewbuy,deny
TN10F5889,renewbuy,deny
TN14V8883,renewbuy,deny
HR43B2235,renewbuy,deny
TN09BF3134,renewbuy,deny
TN22CW1303,renewbuy,deny
TN01BE3008,renewbuy,deny
TN07AR0515,renewbuy,deny
TN07AP5360,renewbuy,deny
TN07BH7241,renewbuy,deny
TN09BZ4782,renewbuy,deny
TN02AM2977,renewbuy,deny
DL3CBA3791,renewbuy,deny
TN09BB5250,renewbuy,deny
AS15S7494,renewbuy,deny
TN22BL7791,renewbuy,deny
HR55X2454,renewbuy,deny
HR55AJ4321,renewbuy,deny
RJ02GB4682,renewbuy,deny
OD17L3094,renewbuy,deny
RJ14GJ5575,renewbuy,deny
BR02AA9878,renewbuy,deny
MH14BJ8181,renewbuy,deny
MH14AH6073,renewbuy,deny
MH04DW2497,renewbuy,deny
MH13AC1966,renewbuy,deny
RJ14GK5231,renewbuy,deny
MH11M5983,renewbuy,deny
PB10EE2525,renewbuy,deny
BR24GC0968,renewbuy,deny
MH04EL3246,renewbuy,deny
MH04HD9894,renewbuy,deny
MH04DB5693,renewbuy,deny
JK01Q4543,renewbuy,deny
RJ14GK4782,renewbuy,deny
HP09B0266,renewbuy,deny
JK01L4397,renewbuy,deny
JK04E8449,renewbuy,deny
MH04GN6215,renewbuy,deny
MH04EL7219,renewbuy,deny
HP19B1111,renewbuy,deny
TN05BZ6661,renewbuy,deny
TN02AE6861,renewbuy,deny
DL1VC2291,renewbuy,deny
TN05AJ8016,renewbuy,deny
TN21Q7205,renewbuy,deny
TN09BL1129,renewbuy,deny
TN18AE3773,renewbuy,deny
HR15C3249,renewbuy,deny
TN19Y4344,renewbuy,deny
TN19T8615,renewbuy,deny
TN20BZ3234,renewbuy,deny
TN31AC7210,renewbuy,deny
TN20CX0325,renewbuy,deny
TN19A4855,renewbuy,deny
UK02TA0399,renewbuy,deny
TN85M0173,renewbuy,deny
TN22CR7331,renewbuy,deny
TN22DR7620,renewbuy,deny
TN07CM7214,renewbuy,deny
TN09J7043,renewbuy,deny
TN22BD1818,renewbuy,deny
TN20BR3533,renewbuy,deny
TN10F1386,renewbuy,deny
TN11W7815,renewbuy,deny
TN09AA4419,renewbuy,deny
TN14F5707,renewbuy,deny
HR17A3770,renewbuy,deny
TN07AU1391,renewbuy,deny
MH16AJ3246,renewbuy,deny
TN20BJ4591,renewbuy,deny
BR27P2776,renewbuy,deny
TN05Y8589,renewbuy,deny
TN22BM9754,renewbuy,deny
UP16DT2806,renewbuy,deny
MH26AD4764,renewbuy,deny
TN05P3208,renewbuy,deny
TN05BU8375,renewbuy,deny
HR26EC1798,renewbuy,deny
TN05AC8174,renewbuy,deny
DL10CB1368,renewbuy,deny
UP21AN6543,renewbuy,deny
MH11BA9773,renewbuy,deny
MH04FR9759,renewbuy,deny
MH11U9691,renewbuy,deny
MH11U1758,renewbuy,deny
MH11BA8095,renewbuy,deny
MH01ZA0102,renewbuy,deny
MH11M0544,renewbuy,deny
MH11M0517,renewbuy,deny
HR55AJ6710,renewbuy,deny
KL33D4247,renewbuy,deny
TN06C3891,renewbuy,deny
OR02BR0138,renewbuy,deny
OD02H9653,renewbuy,deny
OR09F7392,renewbuy,deny
BR24GB6210,renewbuy,deny
PB11BA6547,renewbuy,deny
PB11BF0577,renewbuy,deny
PB11BF3946,renewbuy,deny
MH40BG3943,renewbuy,deny
PB03BH7236,renewbuy,deny
MH43E2950,renewbuy,deny
HR20S3695,renewbuy,deny
HR20R3468,renewbuy,deny
HR15D9691,renewbuy,deny
HR12AD9757,renewbuy,deny
HR90A2105,renewbuy,deny
HR12W2330,renewbuy,deny
HR13J8516,renewbuy,deny
HR61B3258,renewbuy,deny
MH48N1996,renewbuy,deny
MH48N2860,renewbuy,deny
MH48N1450,renewbuy,deny
TN10AF7404,renewbuy,deny
TN21E0487,renewbuy,deny
TN22AD5528,renewbuy,deny
TN22CT8940,renewbuy,deny
TN22AC6003,renewbuy,deny
TN21BH1413,renewbuy,deny
TN50AZ7326,renewbuy,deny
TN10R5729,renewbuy,deny
MH48F3315,renewbuy,deny
TN22BP8974,renewbuy,deny
TN07AF1516,renewbuy,deny
TN09CH2869,renewbuy,deny
JK01M2032,renewbuy,deny
TN38CM5970,renewbuy,deny
JK01L7604,renewbuy,deny
TN74AA4524,renewbuy,deny
HR16S7732,renewbuy,deny
TN05BW9337,renewbuy,deny
TN22K6944,renewbuy,deny
TN02AZ5870,renewbuy,deny
TN02AP1944,renewbuy,deny
TN12AE7515,renewbuy,deny
TN22BL8340,renewbuy,deny
TN05AP8784,renewbuy,deny
TN18E6754,renewbuy,deny
TN22CE3571,renewbuy,deny
TN11AA0878,renewbuy,deny
TN12S4196,renewbuy,deny
BR1AK6508,renewbuy,deny
TN20AA6789,renewbuy,deny
MH06AQ2888,renewbuy,deny
HR51BD9580,renewbuy,deny
MH06S4995,renewbuy,deny
MH06S3187,renewbuy,deny
TN31AA0631,renewbuy,deny
TN20BZ4168,renewbuy,deny
TN22S0550,renewbuy,deny
TN09H1575,renewbuy,deny
GJ07DB8614,renewbuy,deny
TN02BS5248,renewbuy,deny
TN20BW0991,renewbuy,deny
GJ23AN1316,renewbuy,deny
TN09BP1940,renewbuy,deny
GJ06JQ5170,renewbuy,deny
TN05AE5288,renewbuy,deny
BR02PA3493,renewbuy,deny
MH11AG7902,renewbuy,deny
MH11AG9647,renewbuy,deny
MH11CJ0542,renewbuy,deny
MH11CJ2241,renewbuy,deny
KA09B7476,renewbuy,deny
MH04JQ8205,renewbuy,deny
MH43E9990,renewbuy,deny
TN22BV3624,renewbuy,deny
OD10C5815,renewbuy,deny
MH06AZ9561,renewbuy,deny
HR74A6123,renewbuy,deny
MH11AL1970,renewbuy,deny
MH04DS7146,renewbuy,deny
MH11AL1535,renewbuy,deny
BR24M0041,renewbuy,deny
JH12B0631,renewbuy,deny
JH02L1437,renewbuy,deny
OD25G1801,renewbuy,deny
MH48BF1064,renewbuy,deny
MH48AX5366,renewbuy,deny
MH14G3944,renewbuy,deny
MH48BM0395,renewbuy,deny
MH04JU4669,renewbuy,deny
MH48BF0681,renewbuy,deny
SK04J0669,renewbuy,deny
MH48AX8636,renewbuy,deny
MH48AX8931,renewbuy,deny
TN11Z2567,renewbuy,deny
TN55AV0014,renewbuy,deny
PB10BB6179,renewbuy,deny
WB25F9212,renewbuy,deny
HR51CD4958,renewbuy,deny
MH16BC1214,renewbuy,deny
MH507723,renewbuy,deny
OR01P5811,renewbuy,deny
TN11R7115,renewbuy,deny
SK05P1916,renewbuy,deny
TN04AL8503,renewbuy,deny
OR01F4062,renewbuy,deny
TN22AA3238,renewbuy,deny
TN02X3580,renewbuy,deny
TN01BC1995,renewbuy,deny
TN05BW6428,renewbuy,deny
TN02AL2478,renewbuy,deny
TN22BW1281,renewbuy,deny
TN12S8649,renewbuy,deny
TN02AY3550,renewbuy,deny
TN14M5901,renewbuy,deny
TN05J4326,renewbuy,deny
MH11M9765,renewbuy,deny
TN09AP3930,renewbuy,deny
TN22BC3470,renewbuy,deny
TN11AB9409,renewbuy,deny
TN69AT0961,renewbuy,deny
TN19H9919,renewbuy,deny
TN22DS2755,renewbuy,deny
TN12P0257,renewbuy,deny
TN10S6555,renewbuy,deny
TN18Q9981,renewbuy,deny
TN04W6581,renewbuy,deny
MH12HB1742,renewbuy,deny
TN22BP7850,renewbuy,deny
HR16P2970,renewbuy,deny
MH11CH5137,renewbuy,deny
TN20AV5224,renewbuy,deny
MH11AL9805,renewbuy,deny
MH11CH1881,renewbuy,deny
MH11CH7093,renewbuy,deny
TN05BV6477,renewbuy,deny
TN05AF2462,renewbuy,deny
MH01DR7979,renewbuy,deny
TN18E9186,renewbuy,deny
MH43H3583,renewbuy,deny
TN09CU7225,renewbuy,deny
OD17S8059,renewbuy,deny
HR74B1985,renewbuy,deny
MH04GD8061,renewbuy,deny
MH11T6962,renewbuy,deny
RJ11GB2475,renewbuy,deny
PB01B5641,renewbuy,deny
RJ40GA4237,renewbuy,deny
PB13BN1698,renewbuy,deny
MH10CX2539,renewbuy,deny
TN52B1269,renewbuy,deny
JK05A8042,renewbuy,deny
JK057008,renewbuy,deny
JK152930,renewbuy,deny
MH48AY2278,renewbuy,deny
TN57BL0081,renewbuy,deny
MH13AN1918,renewbuy,deny
TN07CM1911,renewbuy,deny
